,train,train_label,val,val_label,test,test_label
150,366,1,,,,
151,170,2,,,,
152,345,1,,,,
153,188,3,,,,
154,29,1,,,,
155,240,1,,,,
156,242,2,,,,
157,461,2,,,,
158,430,1,,,,
159,337,3,,,,
160,422,3,,,,
161,390,1,,,,
162,353,3,,,,
163,174,1,,,,
164,424,3,,,,
165,53,2,,,,
166,395,3,,,,
167,105,3,,,,
168,450,1,,,,
169,143,1,,,,
170,435,2,,,,
171,119,1,,,,
172,14,3,,,,
173,166,1,,,,
174,194,2,,,,
175,363,1,,,,
176,457,2,,,,
177,410,1,,,,
178,241,1,,,,
179,312,1,,,,
180,81,1,,,,
181,59,2,,,,
182,65,1,,,,
183,255,1,,,,
184,58,2,,,,
185,293,1,,,,
186,234,3,,,,
187,31,2,,,,
188,403,3,,,,
189,379,1,,,,
190,118,1,,,,
191,15,1,,,,
192,76,3,,,,
193,356,1,,,,
194,57,1,,,,
195,257,2,,,,
196,453,1,,,,
197,336,2,,,,
198,355,3,,,,
199,454,1,,,,
200,278,1,,,,
201,132,2,,,,
202,445,1,,,,
203,373,1,,,,
204,8,3,,,,
205,316,2,,,,
206,156,2,,,,
207,268,3,,,,
208,404,1,,,,
209,441,1,,,,
210,18,2,,,,
211,299,2,,,,
212,112,1,,,,
213,69,1,,,,
214,304,2,,,,
215,313,3,,,,
216,448,1,,,,
217,6,1,,,,
218,144,1,,,,
219,394,1,,,,
220,307,2,,,,
221,28,1,,,,
222,292,1,,,,
223,172,1,,,,
224,374,1,,,,
225,287,1,,,,
226,361,2,,,,
227,225,1,,,,
228,383,1,,,,
229,460,1,,,,
230,343,1,,,,
231,5,1,,,,
232,79,1,,,,
233,310,2,,,,
234,301,2,,,,
235,400,1,,,,
236,341,3,,,,
237,165,1,,,,
238,322,2,,,,
239,263,1,,,,
240,93,3,,,,
241,198,3,,,,
242,48,2,,,,
243,276,3,,,,
244,289,1,,,,
245,344,2,,,,
246,102,2,,,,
247,309,1,,,,
248,286,2,,,,
249,266,1,,,,
250,190,3,,,,
251,386,1,,,,
252,212,1,,,,
253,46,3,,,,
254,315,2,,,,
255,193,1,,,,
256,438,1,,,,
257,187,2,,,,
258,129,3,,,,
259,229,2,,,,
260,37,1,,,,
261,200,1,,,,
262,398,1,,,,
263,63,1,,,,
264,175,3,,,,
265,443,2,,,,
266,153,1,,,,
267,157,2,,,,
268,52,1,,,,
269,447,3,,,,
270,442,2,,,,
271,140,2,,,,
272,416,2,,,,
273,95,1,,,,
274,222,2,,,,
275,94,2,,,,
276,1,2,,,,
277,111,1,,,,
278,267,3,,,,
279,429,1,,,,
280,324,2,,,,
281,323,3,,,,
282,372,1,,,,
283,61,3,,,,
284,27,3,,,,
285,420,1,,,,
286,106,2,,,,
287,415,1,,,,
288,80,1,,,,
289,131,1,,,,
290,148,1,,,,
291,7,3,,,,
292,321,2,,,,
293,426,3,,,,
294,107,3,,,,
295,342,2,,,,
296,50,1,,,,
297,288,1,,,,
298,300,1,,,,
299,405,1,,,,
300,135,1,,,,
301,219,2,,,,
302,155,1,,,,
303,92,2,,,,
304,349,2,,,,
305,164,2,,,,
306,368,1,,,,
307,72,3,,,,
308,251,3,,,,
309,96,1,,,,
310,259,1,,,,
311,134,1,,,,
312,238,2,,,,
313,279,1,,,,
314,456,1,,,,
315,230,3,,,,
316,71,2,,,,
317,133,1,,,,
318,290,1,,,,
319,110,1,,,,
320,396,1,,,,
321,177,3,,,,
