序号,train,train_label,val,val_label,test,test_label
291,148,1,,,,
292,7,3,,,,
293,321,2,,,,
294,426,3,,,,
295,107,3,,,,
296,342,2,,,,
297,50,1,,,,
298,288,1,,,,
299,300,1,,,,
300,405,1,,,,
301,135,1,,,,
302,219,2,,,,
303,155,1,,,,
304,92,2,,,,
305,349,2,,,,
306,164,2,,,,
307,368,1,,,,
308,72,3,,,,
309,251,3,,,,
310,96,1,,,,
311,259,1,,,,
312,134,1,,,,
313,238,2,,,,
314,279,1,,,,
315,456,1,,,,
316,230,3,,,,
317,71,2,,,,
318,133,1,,,,
319,290,1,,,,
320,110,1,,,,
321,396,1,,,,
322,177,3,,,,
323,,,375,2,,
324,,,77,3,,
325,,,273,3,,
326,,,439,2,,
327,,,101,1,,
328,,,325,1,,
329,,,350,1,,
330,,,89,1,,
331,,,284,1,,
332,,,270,1,,
333,,,352,1,,
334,,,207,2,,
335,,,82,1,,
336,,,451,1,,
337,,,161,2,,
338,,,409,1,,
339,,,151,1,,
340,,,163,3,,
341,,,66,3,,
342,,,122,2,,
343,,,411,1,,
344,,,19,3,,
345,,,254,1,,
346,,,227,2,,
347,,,128,2,,
348,,,232,1,,
349,,,108,3,,
350,,,446,1,,
351,,,68,1,,
352,,,152,1,,
353,,,38,1,,
354,,,116,1,,
355,,,88,2,,
356,,,39,1,,
357,,,205,1,,
358,,,437,1,,
359,,,419,1,,
360,,,370,2,,
361,,,158,2,,
362,,,10,3,,
363,,,302,1,,
364,,,182,3,,
365,,,305,2,,
366,,,90,1,,
367,,,87,2,,
368,,,149,3,,
369,,,56,1,,
370,,,347,1,,
371,,,78,1,,
372,,,327,3,,
373,,,36,3,,
374,,,354,2,,
375,,,204,2,,
376,,,171,3,,
377,,,127,1,,
378,,,43,2,,
379,,,444,1,,
380,,,335,1,,
381,,,421,1,,
382,,,381,1,,
383,,,117,1,,
384,,,202,2,,
385,,,371,1,,
386,,,115,2,,
387,,,103,1,,
388,,,64,1,,
389,,,209,1,,
390,,,99,1,,
391,,,412,1,,
392,,,,,223,3
393,,,,,121,3
394,,,,,35,2
395,,,,,339,1
396,,,,,12,1
397,,,,,189,2
398,,,,,250,3
399,,,,,258,2
400,,,,,176,1
401,,,,,272,1
402,,,,,294,3
403,,,,,360,3
404,,,,,169,2
405,,,,,449,1
406,,,,,2,2
407,,,,,311,2
408,,,,,275,3
409,,,,,98,1
410,,,,,333,2
411,,,,,260,1
412,,,,,331,3
413,,,,,47,1
414,,,,,21,3
415,,,,,401,1
416,,,,,217,1
417,,,,,178,3
418,,,,,191,1
419,,,,,24,2
420,,,,,25,1
421,,,,,141,3
422,,,,,407,1
423,,,,,308,1
424,,,,,26,3
425,,,,,328,1
426,,,,,235,1
427,,,,,203,3
428,,,,,334,2
429,,,,,281,1
430,,,,,340,3
431,,,,,271,1
432,,,,,3,3
433,,,,,125,3
434,,,,,247,3
435,,,,,17,3
436,,,,,245,2
437,,,,,226,1
438,,,,,45,1
439,,,,,30,1
440,,,,,351,3
441,,,,,146,3
442,,,,,397,1
443,,,,,455,3
444,,,,,376,2
445,,,,,431,1
446,,,,,4,3
447,,,,,414,1
448,,,,,249,1
449,,,,,32,1
450,,,,,237,2
451,,,,,417,1
452,,,,,9,1
453,,,,,145,3
454,,,,,297,1
455,,,,,385,2
456,,,,,418,1
457,,,,,113,1
458,,,,,413,1
459,,,,,100,1
460,,,,,364,1
461,,,,,458,1
